Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,20000,20000,20000, 60 months,17.19%,499.1,C,C5,Front desk supervisor,6 years,RENT,47000,Source Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,958xx,CA,14.02,0,Sep-06,1,50,,15,0,10687,19.70%,53,w,20000,20000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,50,1,Individual,,,,0,0,31546,3,2,1,2,10,20859,97,4,9,5909,42,54300,6,1,3,11,2103,23647,30,0,0,150,100,1,1,0,5,,3,50,3,3,4,8,19,19,13,33,4,15,0,0,0,5,98,12.5,0,0,75824,31546,33800,21524,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,21225,21225,21225, 60 months,14.74%,502.05,C,C2,ceo,10+ years,MORTGAGE,225000,Not Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,956xx,CA,16.8,0,Sep-94,2,,110,14,1,95868,87.70%,22,w,21225,21225,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,694793,1,5,2,4,3,113558,76,0,1,17353,84,109300,1,0,4,5,49628,12635,76.4,0,0,126,294,24,3,4,30,,1,,0,4,6,4,4,11,7,7,6,14,0,0,0,2,100,50,1,0,747075,209426,53500,128175,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,5000,5000,5000, 36 months,17.97%,180.69,D,D1,,n/a,MORTGAGE,62000,Not Verified,Mar-19,Issued,n,,,home_improvement,Home improvement,320xx,FL,19.82,1,Nov-87,0,4,,8,0,7285,77.50%,18,w,5000,5000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,4,1,Individual,,,,0,0,206639,0,1,0,0,33,24330,,1,3,2318,78,9400,0,0,0,3,25830,2115,77.5,0,0,187,376,9,9,2,9,,,4,3,6,6,6,6,7,6,9,6,8,0,0,1,1,66.7,50,0,0,255738,31615,9400,39938,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,20000,20000,20000, 36 months,8.19%,628.49,A,A4,Executive Director of Guardian Advantage,1 year,MORTGAGE,200000,Not Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,190xx,PA,22.66,1,Oct-01,0,18,,20,0,20984,32.10%,49,w,20000,20000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,48,1,Individual,,,,0,0,326678,2,5,1,3,4,63760,61,2,3,5097,50,64400,1,5,0,6,17194,30437,38.4,0,0,162,209,2,2,1,2,18,21,18,1,7,9,9,15,20,14,27,9,20,0,0,0,3,95.7,22.2,0,0,448069,84744,49400,105180,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,12000,12000,12000, 60 months,15.57%,289.09,C,C3,Computer Operator,5 years,MORTGAGE,49000,Source Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,152xx,PA,13.47,0,Apr-93,0,38,,18,0,17672,48.20%,36,w,12000,12000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,38,1,Individual,,,,0,0,143079,2,4,0,0,51,88353,128,4,6,3587,100,36700,0,8,1,6,7949,14848,39.1,1,0,144,311,3,3,5,3,38,11,38,4,5,10,7,11,12,12,19,10,18,0,0,0,4,86.1,14.3,0,0,189260,106025,24400,68860,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,13500,13500,13500, 36 months,7.56%,420.31,A,A3,Security officer,8 years,RENT,34860,Not Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,857xx,AZ,10.91,0,Oct-03,1,,,9,0,9932,24.70%,11,w,13500,13500,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,9932,1,0,0,0,,0,,1,3,3777,25,40200,0,0,1,3,1104,16629,33.7,0,0,,185,1,1,0,22,,1,,0,5,6,5,7,0,9,11,6,9,0,0,0,1,100,0,0,0,40200,9932,25100,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,25000,25000,25000, 36 months,7.02%,772.16,A,A2,"Vice President, Trade Show",5 years,MORTGAGE,305000,Not Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,600xx,IL,8.16,0,Oct-95,0,,,12,0,31360,36.90%,26,w,25000,25000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,,1,Individual,,,,0,0,726960,1,2,1,1,3,18796,48,1,1,11255,41,85000,1,0,3,3,60580,49640,38.7,0,0,106,232,12,3,4,28,,3,,0,4,4,5,9,5,8,16,4,12,0,0,0,2,100,0,0,0,840287,65339,81000,38858,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,10000,10000,10000, 60 months,12.40%,224.48,B,B4,,n/a,MORTGAGE,38000,Not Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,306xx,GA,38.66,0,Feb-97,0,,,7,0,8334,49%,18,w,10000,10000,0,0,0,0,0,0,0,,0,Apr-19,Mar-19,0,,1,Individual,,,,0,0,134860,0,2,0,0,36,29189,37,0,0,6574,44,17000,0,0,0,0,19266,8666,49,0,0,170,265,37,33,4,112,,,,0,2,2,4,6,7,4,7,2,7,0,0,0,0,100,50,0,0,176439,37523,17000,57439,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
,,7000,7000,7000, 36 months,8.81%,221.98,A,A5,Administrative Assistant/Legal Secretary,6 years,MORTGAGE,50000,Verified,Mar-19,Issued,n,,,credit_card,Credit card refinancing,489xx,MI,15.75,0,Sep-01,0,29,,12,0,8559,21.40%,33,w,7000,7000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,29,1,Joint App,72000,21.77,Verified,0,0,33756,1,1,1,2,12,25197,86,3,6,7253,49,40000,1,5,2,9,2813,18951,28.2,0,0,66,210,3,3,4,3,35,12,35,8,2,5,5,12,6,11,23,5,12,0,0,0,4,72.7,20,0,0,69211,33756,26400,29211,22538,Jan-12,0,0,14,43.9,3,17,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
,,24000,24000,24000, 60 months,12.40%,538.74,B,B4,Engineer,10+ years,MORTGAGE,124812,Verified,Mar-19,Issued,n,,,debt_consolidation,Debt consolidation,765xx,TX,20.11,1,Mar-06,1,21,,15,0,14615,35.60%,59,w,24000,24000,0,0,0,0,0,0,0,,0,Apr-19,Apr-19,0,21,1,Individual,,,,0,0,340258,0,3,1,3,12,76991,41,0,0,2694,36,41000,0,5,1,3,22684,13790,40.8,0,0,155,156,25,12,4,25,,1,,1,6,7,7,10,38,11,17,7,15,0,0,1,1,98.3,14.3,0,0,407438,91606,23300,103765,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
